order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK01888,11/10/2018,17:17:44,Dinner,,"[('Pasta', 2), ('Salmon', 2), ('Fish&Chips', 3)]",242,-37.8120855,144.9535613,0,8.43,15.0570453
ORDA05407,4/09/2018,16:06:45,Dinner,BK,"[('Shrimp', 4), ('Fish&Chips', 2), ('Salmon', 3)]",409,-37.7995235,144.9536916,0,8.723,15.905663
ORDC00962,27/02/2018,9:51:32,Breakfast,NS,"[('Pancake', 6), ('Cereal', 4)]",229.5,-37.8063831,144.9323713,0,10.181,14.9702775
ORDC01559,10/06/2018,13:14:21,Lunch,NS,"[('Steak', 4), ('Salad', 6), ('Fries', 8), ('Burger', 5), ('Chicken', 4)]",662.2,-37.8159547,144.9575096,0,8.6,16.2832818
ORDJ04707,10/11/2018,18:18:35,Dinner,TP,"[('Fish&Chips', 3), ('Pasta', 7)]",297.5,-37.8104585,144.9440867,0,9.766,15.2350134
ORDZ09845,23/01/2018,8:40:33,Breakfast,NS,"[('Coffee', 7), ('Eggs', 8), ('Pancake', 2), ('Cereal', 3)]",340,-37.8163675,144.9595878,0,8.54,13.239763
ORDB05444,25/02/2018,9:51:32,Dinner,TP,"[('Pancake', 9), ('Coffee', 8)]",278.25,-37.8118571,144.9361346,0,10.986,14.6367873
ORDI06830,4/01/2018,8:00:00,Breakfast,,"[('Pancake', 4), ('Eggs', 2)]",141,-37.816325,145.0031212,1,10.22,7.5046742
ORDY08146,9/04/2018,11:12:40,Breakfast,TP,"[('Coffee', 2), ('Chicken', 10), ('Eggs', 5), ('Cereal', 5)]",472.5,-37.8023596,144.9430107,0,10.46,12.822821
ORDC08852,10/08/2018,15:16:03,Lunch,NS,"[('Fries', 10), ('Salad', 8), ('Chicken', 1), ('Burger', 5), ('Steak', 8)]",804.6,-37.8055715,144.9418302,0,9.306,14.440601
ORDB03742,31/07/2018,14:55:46,Lunch,TP,"[('Chicken', 10), ('Fries', 2), ('Salad', 10)]",516,-37.801099,144.969947,0,9.89,
ORDJ07341,3/11/2018,18:08:27,Dinner,TP,"[('Salmon', 10), ('Shrimp', 8), ('Fish&Chips', 5)]",1017,-37.8113498,144.9522432,0,8.024,14.6739369
ORDX07067,5/05/2018,12:03:22,Lunch,BK,"[('Steak', 8), ('Burger', 9), ('Fries', 6), ('Chicken', 3)]",807,-37.8225862,144.9402193,0,10.253,18.2717961
ORDB02428,10/10/2018,17:17:44,Dinner,TP,"[('Fish&Chips', 2), ('Shrimp', 7), ('Pasta', 5)]",292,-37.8126496,144.9527667,0,9.066,13.5487517
ORDY03755,6/03/2018,10:01:41,Breakfast,TP,"[('Cereal', 2), ('Eggs', 2)]",86,-37.8131187,144.9513892,0,9.079,11.383239
ORDA01002,21/12/2018,19:39:43,Dinner,TP,"[('Pasta', 2), ('Shrimp', 4), ('Salmon', 3)]",394,-37.8146922,144.9375458,0,9.942,17.1093784
ORDJ10234,5/12/2018,19:09:17,Dinner,TP,"[('Shrimp', 4), ('Pasta', 6), ('Fish&Chips', 9), ('Salmon', 3)]",819,-37.8207182,144.954738,0,8.231,
ORDI02708,20/02/2018,9:41:24,Dinner,NS,"[('Pancake', 2), ('Cereal', 4)]",132.5,-37.8173296,144.9673881,0,8.303,13.4052441
ORDX06977,26/10/2018,17:48:10,Dinner,,"[('Pasta', 7), ('Fish&Chips', 10), ('Salmon', 3)]",665.5,-37.8201306,144.9672495,0,,14.7905563
ORDK10668,12/01/2018,8:20:16,Breakfast,BK,"[('Coffee', 10), ('Cereal', 2), ('Eggs', 2), ('Pancake', 9)]",379.25,-37.8075598,144.970525,1,6.752,
ORDI00821,19/09/2018,16:37:10,Dinner,bk,"[('Fish&Chips', 4), ('Pasta', 9)]",387.5,-37.822171,144.9500743,0,9.789,15.8817421
ORDC00607,30/09/2018,16:57:27,Dinner,NS,"[('Salmon', 3), ('Pasta', 10)]",398,-37.8144874,144.943067,0,9.529,17.2356176
ORDK05264,26/02/2018,9:51:32,Breakfast,BK,"[('Coffee', 1), ('Cereal', 7), ('Eggs', 10), ('Pancake', 9)]",592.75,-37.8096215,144.9636214,0,7.404,12.1906416
ORDK04815,6/09/2018,16:06:45,Dinner,BK,"[('Fish&Chips', 4), ('Salmon', 10), ('Shrimp', 2)]",658,-37.8167317,144.9274527,0,11.464,18.7771802
ORDZ10649,30/08/2018,15:56:37,Lunch,NS,"[('Salad', 7), ('Burger', 8)]",368.4,-37.8089247,144.9616839,0,7.818,13.3387582
ORDB03851,26/12/2018,19:49:51,Dinner,TP,"[('Pasta', 6), ('Fish&Chips', 8), ('Shrimp', 9), ('Salmon', 10)]",1341,-37.8031088,144.9634489,0,9.406,13.2728272
ORDK00322,16/04/2018,11:22:49,Breakfast,BK,"[('Eggs', 4), ('Cereal', 7), ('Pancake', 8)]",429,-37.811453,144.9646701,0,7.425,12.4785097
ORDY06124,6/04/2018,11:02:32,Breakfast,TP,"[('Eggs', 5), ('Coffee', 4)]",140,-37.8184937,144.9642026,0,7.612,
ORDK06008,21/12/2018,19:39:43,Dinner,BK,"[('Shrimp', 9), ('Salmon', 9), ('Fish&Chips', 4)]",995,-37.8141155,144.9328762,0,11.06,18.5103597
ORDY01977,2/03/2018,9:51:32,Breakfast,TP,"[('Eggs', 9), ('Cereal', 3), ('Coffee', 6)]",306,-37.8142552,144.9746665,0,8.554,11.2575298
ORDK04149,6/06/2018,13:04:13,Lunch,BK,"[('Steak', 7), ('Chicken', 8)]",571,-37.8046982,144.9615629,0,9.616,15.4953231
ORDK02560,24/09/2018,16:47:19,Dinner,BK,"[('Salmon', 1), ('Pasta', 6)]",206,37.8108053,144.9478465,0,11.946,18.2598204
ORDB07933,14/11/2018,18:28:43,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 2)]",283,-37.8016387,144.9846025,0,10.554,14.4869116
ORDC03291,14/12/2018,19:29:34,Dinner,tp,"[('Pasta', 6), ('Salmon', 10), ('Fish&Chips', 9)]",890,-37.8212718,144.9612196,0,9.078,15.849599
ORDI03721,17/09/2018,16:37:10,Dinner,NS,"[('Fish&Chips', 2), ('Shrimp', 4), ('Pasta', 1), ('Salmon', 3)]",436.5,-37.8093139,145.0194308,0,10.97,16.500923
ORDK10540,10/07/2018,14:15:12,Lunch,BK,"[('Chicken', 9), ('Salad', 5), ('Fries', 10)]",494,-37.824387,144.982992,0,7.035,13.1343288
ORDZ07989,30/05/2018,12:54:05,Lunch,NS,"[('Shrimp', 2), ('Salad', 9), ('Chicken', 3)]",340.8,-37.8187758,144.9700762,0,8.416,13.9919506
ORDC05579,1/02/2018,9:00:50,Breakfast,NS,"[('Pancake', 7), ('Cereal', 6), ('Coffee', 10)]",370.75,-37.8205809,144.9791177,0,8.735,14.372056
ORDA03070,3/04/2018,11:02:32,Breakfast,BK,"[('Cereal', 9), ('Pancake', 4)]",286,-37.8100517,144.9836969,0,5.669,10.4671754
ORDJ06485,7/12/2018,19:19:26,Dinner,TP,"[('Shrimp', 4), ('Fish&Chips', 2)]",286,-37.8175235,144.9576945,0,8.111,12.0463564
ORDK09766,12/02/2018,9:21:07,Breakfast,BK,"[('Coffee', 9), ('Pancake', 8), ('Eggs', 3), ('Cereal', 2)]",369.5,-37.7989485,144.9877544,0,6.387,
ORDJ08080,14/10/2018,17:27:53,Dinner,TP,"[('Pasta', 10), ('Fish&Chips', 6), ('Salmon', 7)]",772,-37.8108133,144.9385349,0,10.388,15.9530121
ORDJ10601,5/08/2018,15:05:54,Lunch,TP,"[('Chicken', 9), ('Salad', 4)]",356.8,-37.8150574,144.952147,1,8.865,13.6699417
ORDK00420,31/07/2018,14:55:46,Lunch,BK,"[('Chicken', 10), ('Steak', 8), ('Salad', 5)]",766,-37.8027583,145.0024573,0,5.228,10.8980287
ORDI10589,2018-26-03,10:42:15,Breakfast,NS,"[('Cereal', 5), ('Eggs', 10), ('Pancake', 6)]",470.5,-37.8142019,144.9494714,0,10.211,15.3823722
ORDA02285,23/09/2018,16:47:19,Dinner,BK,"[('Shrimp', 10), ('Fish&Chips', 1), ('Pasta', 7)]",767.5,-37.808963,144.9489466,0,9.012,18.8366849
ORDI10289,4/03/2018,10:01:41,Breakfast,NS,"[('Coffee', 3), ('Cereal', 10)]",232.5,-37.8237919,144.9403832,0,10.889,18.0740455
ORDY07889,20/04/2018,11:32:57,Breakfast,TP,"[('Eggs', 8), ('Coffee', 7)]",228.5,-37.8251977,144.9568852,0,8.088,11.0262764
ORDC10470,27/03/2018,10:42:15,Breakfast,NS,"[('Cereal', 10), ('Coffee', 9), ('Pancake', 8), ('Eggs', 8)]",647.5,-37.8124223,144.9539704,0,8.337,13.5805718
ORDX06620,6/04/2018,11:02:32,Breakfast,,"[('Eggs', 5), ('Cereal', 8)]",278,-37.812266,144.9838112,0,5.794,10.2186684
ORDI03852,9/03/2018,10:11:49,Breakfast,NS,"[('Cereal', 3), ('Pancake', 3), ('Eggs', 4), ('Coffee', 7)]",276.25,-37.8061847,144.9585761,0,7.718,12.768438
ORDZ06504,10/06/2018,13:14:21,Lunch,NS,"[('Salad', 1), ('Chicken', 3), ('Burger', 3), ('Steak', 3)]",341.2,-37.8136156,144.950295,0,8.702,16.5440834
ORDX01227,20/11/2018,18:38:52,Dinner,BK,"[('Fish&Chips', 6), ('Shrimp', 6)]",534,-37.8237726,145.0157724,0,4.821,12.086384
ORDC04003,8/02/2018,9:10:59,Breakfast,NS,"[('Pancake', 1), ('Coffee', 5)]",61.75,-37.8164981,144.9503633,0,9.721,
ORDJ10501,13/11/2018,18:28:43,Dinner,bk,"[('Shrimp', 9), ('Pasta', 8), ('Salmon', 2), ('Fish&Chips', 4)]",928,-37.8061313,144.9441981,0,10.141,13.5848069
ORDJ09879,14/12/2018,19:29:34,Dinner,,"[('Shrimp', 7), ('Pasta', 2)]",433,-37.8149675,144.9275211,0,,15.5878258
ORDK01660,21/06/2018,13:34:38,Lunch,,"[('Fries', 1), ('Chicken', 1), ('Salad', 7)]",164.4,-37.7997319,144.9636806,0,,13.9579398
ORDJ00375,14/05/2018,12:23:39,Lunch,TP,"[('Burger', 5), ('Fries', 4), ('Salad', 6), ('Steak', 7), ('Chicken', 8)]",877.2,-37.8054343,144.9438443,0,10.179,13.5259484
ORDJ08921,19/08/2018,15:36:20,Lunch,TP,"[('Steak', 6), ('Burger', 7), ('Fries', 1), ('Salad', 10), ('Chicken', 7)]",895,-37.8064571,144.9837957,0,9.994,14.5288717
ORDA01989,20/05/2018,12:33:48,Lunch,BK,"[('Chicken', 9), ('Burger', 6), ('Salmon', 10), ('Salad', 3)]",645.6,-37.8173651,145.0162753,0,5.201,13.320185
ORDA07375,2018-13-02,9:21:07,Breakfast,BK,"[('Coffee', 10), ('Pancake', 7), ('Cereal', 2), ('Eggs', 5)]",396.75,-37.803268,144.9651635,0,7.588,12.765358
ORDJ01553,30/12/2018,20:00:00,Dinner,tp,"[('Pasta', 4), ('Salmon', 8)]",438,-37.8062743,144.9595865,0,8.969,14.867232
ORDK02810,26/01/2018,8:40:33,Breakfast,BK,"[('Coffee', 2), ('Cereal', 9), ('Eggs', 5), ('Pancake', 5)]",435.25,-37.8206586,144.9539071,0,8.717,13.4906246
ORDJ03730,25/08/2018,15:46:28,Lunch,,"[('Steak', 5), ('Salad', 8), ('Fries', 6)]",434.6,-37.8047601,144.9366538,0,,15.526801
ORDI03624,25/06/2018,13:44:47,Lunch,NS,"[('Chicken', 8), ('Burger', 1), ('Steak', 2), ('Fries', 9)]",485,-37.8241714,144.9837984,0,9.471,15.2167111
ORDC09545,22/08/2018,15:46:28,Lunch,NS,"[('Salad', 8), ('Chicken', 1)]",169.6,-37.8115345,144.9490086,0,8.799,13.5920506
ORDY08321,19/07/2018,14:35:29,Lunch,TP,"[('Fries', 4), ('Salad', 10), ('Steak', 3), ('Chicken', 1)]",387,-37.8094958,145.0101169,0,12.256,15.7278991
ORDY10072,15/05/2018,12:23:39,Lunch,TP,"[('Chicken', 8), ('Fries', 2), ('Salad', 10), ('Burger', 4), ('Steak', 2)]",666,-37.8245929,144.9534613,0,8.353,12.2194569
ORDJ02189,13/12/2018,19:29:34,Dinner,TP,"[('Salmon', 7), ('Shrimp', 3), ('Cereal', 4)]",559,-37.80023,145.0137188,0,13.015,16.2351924
ORDK06104,29/04/2018,11:53:14,Breakfast,BK,"[('Eggs', 8), ('Cereal', 1), ('Pancake', 7), ('Coffee', 1)]",374.25,-37.8042124,144.9603782,0,7.834,15.2012287
ORDC00278,10/04/2018,11:12:40,Breakfast,NS,"[('Pancake', 3), ('Eggs', 9)]",270.75,-37.8080931,144.9731894,0,7.108,11.7005253
ORDA11068,4/06/2018,13:04:13,Lunch,BK,"[('Salad', 5), ('Steak', 8), ('Fries', 6), ('Chicken', 9)]",806,37.8202504,144.9708068,0,7.857,13.6007971
ORDX09220,27/02/2018,9:51:32,Breakfast,BK,"[('Pancake', 3), ('Cereal', 10)]",559,-37.8238866,144.9739223,0,7.736,12.6433684
ORDK09282,8/08/2018,15:16:03,Lunch,BK,"[('Steak', 3), ('Salad', 2)]",169.4,-37.8029968,144.9494294,0,8.756,
ORDX10525,1/07/2018,13:54:55,Lunch,BK,"[('Steak', 6), ('Chicken', 7)]",494,37.8154228,144.9666571,0,7.511,16.0372125
ORDC08316,22/07/2018,14:45:38,Lunch,NS,"[('Fries', 1), ('Eggs', 6), ('Burger', 2)]",177.2,-37.8233178,145.0092362,0,11.385,18.7725548
ORDY01019,10/09/2018,16:16:54,Dinner,TP,"[('Shrimp', 4), ('Salmon', 2), ('Fish&Chips', 8)]",578,-37.8147957,144.9448989,0,9.585,13.9443551
ORDA08239,20/10/2018,17:38:01,Dinner,BK,"[('Salmon', 1), ('Pasta', 5), ('Fish&Chips', 5)]",353.5,-37.8232907,144.9699533,0,7.976,17.5879656
ORDI08492,19/02/2018,9:31:16,Breakfast,NS,"[('Cereal', 2), ('Coffee', 5), ('Eggs', 5)]",1172,-37.8072312,144.9559266,0,8.085,13.121757
ORDX03808,1/02/2018,9:00:50,Breakfast,BK,"[('Cereal', 8), ('Eggs', 1), ('Coffee', 1)]",197.5,-37.8208816,144.9549911,0,8.601,13.4378823
ORDJ01935,19/05/2018,12:33:48,Lunch,TP,"[('Steak', 9), ('Fries', 5), ('Chicken', 5)]",625,-37.8102648,144.9596599,0,8.68,13.5721693
ORDC00586,5/10/2018,17:07:36,Dinner,NS,"[('Steak', 5), ('Fish&Chips', 10)]",487.5,-37.8216354,144.9551762,0,9.49,15.8911382
ORDK00769,16/07/2018,14:25:21,Lunch,BK,"[('Salad', 5), ('Steak', 6), ('Chicken', 9), ('Fries', 9), ('Burger', 1)]",783,-37.8198422,144.9408034,0,9.989,15.7520136
ORDA06461,2/02/2018,9:00:50,Breakfast,BK,"[('Pancake', 5), ('Coffee', 8), ('Cereal', 10)]",391.25,-37.8197476,145.0111595,0,4.421,9.4998719
ORDA02201,9/04/2018,11:12:40,Breakfast,BK,"[('Cereal', 6), ('Eggs', 4), ('Pancake', 4), ('Coffee', 3)]",333.5,-37.8141871,144.9502546,0,10.695,15.8408944
ORDY00469,5/10/2018,17:07:36,Dinner,,"[('Pasta', 3), ('Salmon', 7), ('Fish&Chips', 9)]",684.5,-37.8234465,144.9785077,0,,12.346391
ORDA05126,13/04/2018,11:22:49,Breakfast,BK,"[('Pancake', 3), ('Cereal', 2), ('Coffee', 7), ('Eggs', 6)]",299.25,-37.8142591,144.9668762,0,7.442,12.5602026
ORDI08603,4/11/2018,18:08:27,Dinner,NS,"[('Pasta', 10), ('Shrimp', 1), ('Salmon', 5)]",534,-37.8115423,144.9525382,0,8.507,16.6522539
ORDI01074,9/02/2018,9:10:59,Breakfast,NS,"[('Cereal', 7), ('Coffee', 3)]",169.5,-37.8166716,144.9697287,0,8.1,13.7305915
ORDI07488,27/08/2018,15:56:37,Lunch,,"[('Chicken', 10), ('Steak', 3), ('Salad', 6), ('Fries', 6)]",630.2,-37.8170198,144.9533067,0,8.95,13.9407103
ORDA03993,9/09/2018,16:16:54,Dinner,ns,"[('Pasta', 4), ('Fish&Chips', 10)]",460,-37.8061921,144.9417903,0,9.51,18.92995
ORDI09551,18/01/2018,8:30:25,Breakfast,,"[('Pancake', 6), ('Coffee', 2)]",160.5,-37.7999398,144.9631958,1,,6.2165365
ORDI01484,30/04/2018,11:53:14,Breakfast,NS,"[('Cereal', 2), ('Coffee', 4)]",72,-37.7997947,144.9552864,0,7.498,12.6967888
ORDA00550,14/10/2018,17:27:53,Breakfast,BK,"[('Fish&Chips', 8), ('Pasta', 9)]",527.5,-37.8177501,144.9918018,0,5.511,15.0530084
ORDA08779,8/05/2018,12:13:31,Lunch,BK,"[('Chicken', 5), ('Salad', 7), ('Steak', 1), ('Burger', 9)]",604.4,-37.8010769,144.9697417,0,7.5,13.4906401
ORDK05629,24/03/2018,10:42:15,Breakfast,BK,"[('Cereal', 5), ('Pancake', 9), ('Coffee', 7), ('Eggs', 10)]",595.75,-37.8195001,144.9852035,0,6.221,13.5471132
ORDK01854,17/09/2018,16:37:10,Dinner,BK,"[('Shrimp', 3), ('Salmon', 9), ('Fish&Chips', 6), ('Pasta', 9)]",988.5,-37.8089442,144.9257734,0,11.018,17.7495504
ORDZ02074,22/07/2018,14:35:29,Lunch,,"[('Steak', 8), ('Chicken', 3), ('Fries', 1), ('Burger', 7)]",685,-37.800479,144.9588359,0,7.214,14.8898008
ORDI01999,1/06/2018,12:54:05,Lunch,NS,"[('Chicken', 7), ('Burger', 6), ('Salad', 3), ('Fries', 2)]",485.6,-37.8213485,144.9537613,0,9.525,14.533488
ORDA09537,21/04/2018,11:32:57,Breakfast,BK,"[('Eggs', 6), ('Cereal', 7), ('Pancake', 9), ('Coffee', 2)]",512.25,-37.8188543,144.95329,0,8.798,16.3942786
ORDJ10420,14/02/2018,9:21:07,Breakfast,TP,"[('Pancake', 6), ('Cereal', 7), ('Eggs', 3), ('Coffee', 7)]",411,-37.8248784,144.9797757,0,8.499,11.3179748
ORDB04544,8/02/2018,9:10:59,Breakfast,TP,"[('Pancake', 6), ('Cereal', 8), ('Coffee', 5)]",351,-37.8006507,144.9577092,0,10.088,12.0130054
ORDK09039,3/09/2018,16:06:45,Dinner,BK,"[('Fish&Chips', 5), ('Shrimp', 4), ('Salmon', 6)]",637,-37.811487,144.9724283,0,6.85,13.7837746
ORDI01226,11/09/2018,16:16:54,Dinner,NS,"[('Shrimp', 6), ('Fish&Chips', 5), ('Pasta', 7)]",691.5,37.8083276,144.9677601,0,7.026,12.951319
ORDZ07238,18/09/2018,16:37:10,Dinner,NS,"[('Shrimp', 3), ('Pasta', 8), ('Fish&Chips', 4), ('Salmon', 5)]",622.5,-37.8063482,144.9561166,0,8.239,14.4203224
ORDA04399,18/10/2018,17:38:01,Dinner,,"[('Salmon', 4), ('Pasta', 5), ('Shrimp', 3), ('Fish&Chips', 2)]",533.5,-37.8187208,144.967189,0,7.623,14.3797332
ORDC07711,13/06/2018,13:24:30,Lunch,TP,"[('Chicken', 8), ('Burger', 2), ('Steak', 1)]",363,-37.81115,144.9729569,0,7.427,13.3250725
ORDI08820,26/06/2018,13:44:47,Lunch,NS,"[('Chicken', 9), ('Salad', 3)]",339.6,-37.8195883,144.9631814,0,8.839,15.1991997
ORDI07407,29/10/2018,17:58:18,Dinner,NS,"[('Shrimp', 1), ('Fish&Chips', 3)]",159,-37.8196669,144.9809954,0,8.806,
ORDK08308,27/04/2018,11:43:05,Breakfast,BK,"[('Cereal', 4), ('Pancake', 8), ('Coffee', 8), ('Eggs', 8)]",514,-37.8132913,144.9653492,0,7.534,
